,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd,delzprime,delzstdprime,delaprime,delastdprime
run_00000023,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.24000000000000002,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,23,4.887890891667824,4.977799457998694,2.035774486572256,0.4116152355118382,31136.37034014949,16047.32064745828,4.97620946994392,5.004925009439859,0.08561433952791156,0.10957761604708437,0.024963443795119642,0.02684461364791758,4877.067009379944,4141.738503508539,6.425818964039692,1.3048846515414205,0.08990856633085925,1.624159251060432,0.028715539495938126,0.07840547498874255,6.049845991995905,0.018402331503923914,4.812753643834687,3.665905546087272,0.10571922412442047,0.05526675726339838
run_00000024,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.25,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,24,5.014625584751752,5.024694540801577,2.013515679349951,0.48079017018372167,30309.576561289436,16847.29123952071,5.09067913459231,5.013855326740896,0.10732957747810763,0.1122115805798971,0.017426313834478915,0.037526327125581224,5353.055689316765,4600.662754721282,6.399170721635943,1.535416465072813,0.010068956049826546,1.5327255091662288,0.0768238078514151,0.0556423922369535,6.048764188369571,0.02779992963711064,4.846125124012695,3.6205692075097704,0.045669938427392365,0.033342411637770165
run_00000025,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.26,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,25,4.993494927418117,4.992476376485548,1.9945177873818816,0.2787350067541778,30225.085193541094,17305.80487998013,5.0990189416374925,4.990249406790321,0.07340187019295943,0.11109117937640026,0.023921607853607998,0.029988390433463172,5170.272547780042,4411.845144663777,6.2755992193638495,0.9002419941258039,0.001018550932550472,1.7157827806277108,0.10876953484717203,0.06410503662200685,6.040603911467208,0.024202132279745492,4.802215188250456,3.665986321943995,0.05250428338342507,0.036793931465719076
run_00000026,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.27,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,26,4.910625153465713,4.940396512323911,2.0332897592553993,0.33543662348337977,31183.544551862124,15947.886394206069,4.899181963277395,4.954654779519758,0.11399054246639628,0.15744603619283717,0.018203939160313688,0.056905661979164114,5267.90389155635,4735.286023660388,6.39893452215704,1.0770466551306142,0.02977135885817908,1.697853135772039,0.05547281624236152,0.16420432462954657,6.154747038139696,0.05552266503112435,4.944931992151274,3.66491963483922,0.1400381989846843,0.09076726756069034
run_00000027,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.28,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,27,5.054565242982658,4.950641080301094,1.9727443998291643,0.2780845802542634,31137.967348501777,15897.413699362902,5.000151122858471,4.943701580137514,0.09796330645751009,0.0997382166882242,0.02518134935127717,0.03299143820090111,4996.598129452438,4224.122333204097,6.299074033349193,0.8964353072920367,0.1039241626815794,1.694659819574904,0.05644954272095663,0.047320963003095025,6.093338829698402,0.03754375173898548,4.846165572428425,3.694136419921871,0.10462840976168274,0.04574276991338717
run_00000028,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.29000000000000004,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,28,4.980036750792397,4.69208593904347,1.9927961986248517,0.30010781419444943,30985.390881086703,16554.586478339374,5.029422202544661,4.710981609456691,0.10402461566252584,0.1009191451662059,0.011459902229658528,0.03908245783009649,4677.817392763732,4082.404213383242,6.27612018874928,0.9573934555204315,0.2879508117489072,1.6926883844303948,0.3184405930879706,0.1252636206874488,6.087173819681185,0.0406284050683199,4.850688126150686,3.6913296012628027,0.2879508117489072,0.1252636206874488
run_00000029,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.3,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,29,4.987836634561376,4.982392252752682,1.9852067604589851,0.3052094567635304,30428.79831882282,17019.556831803617,5.0171817443713955,4.978749891912125,0.11354413547385506,0.08152729047657645,0.01654972018090924,0.030539724058319513,5076.550121951524,4806.828344612314,6.24113397881645,0.9698146159040748,0.005444381808668123,1.679997303695461,0.03843185245927056,0.09347342676502932,6.084760457772919,0.024102580882902833,4.8517506972915365,3.6723700803556616,0.07415713061751232,0.057163299266689234
run_00000030,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.31,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,30,4.840265352063833,5.047758139055456,1.9812837768563565,0.209376974020419,31256.555394719406,16415.718582649864,4.980530101410726,5.0489207150532796,0.09739259171841062,0.10645317857995015,0.016583325894908147,0.038860667264751604,5088.6848982085485,4147.534160549836,6.307183009524399,0.6803952738315877,0.2074927869916226,1.7719068028359344,0.06839061364255343,0.04810492952763765,6.189950281182519,0.03980056882548539,4.944357668430859,3.7247132783846473,0.2074927869916226,0.04810492952763765
run_00000031,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.32,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,31,5.006695318765652,4.835399974567393,1.9851458981413308,0.11068542493154951,31972.45642057054,15798.2912276164,5.002719161522283,4.835680762356813,0.13645455772878579,0.13952187569317678,0.01651116061290646,0.05429290140171583,5332.130472586463,4135.459066849797,6.306819136706003,0.41589334647455023,0.17129534419827838,1.874460473209779,0.167038399165469,0.09536242173172413,6.236954240792754,0.05873213323823176,4.975050358414717,3.765152581207841,0.17129534419827838,0.09536242173172413
run_00000032,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.33,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,32,5.022795132193878,5.029507453974875,1.9592867322566843,0.23836169312875216,30943.105123463047,15829.672033491892,5.041752649417589,5.021702710537443,0.06816993616276869,0.07997194033083804,0.015884772344319745,0.060306196790022956,4845.228343244282,4501.973300997862,6.249101261638105,0.7780148938047334,0.006712321780990352,1.7209250391279245,0.020049938880145876,0.0385356189275204,6.140613193650155,0.06284304798609577,4.908203898004095,3.6901310125382865,0.031664444222485266,0.022965455839145568
run_00000033,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.34,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,33,5.121425534231975,5.179854336271738,1.968205724126197,0.20758879819781192,30471.810982632756,17204.028652446083,5.122255533849703,5.178416877890904,0.12644757864171716,0.06993375443427352,0.020221250695091345,0.036121649571106036,4936.497414413604,4204.980547756283,6.244023920900829,0.669395164136785,0.058428802039759045,1.7606169259283784,0.05616134404120083,0.08821581033120507,6.156127481579283,0.03423341542703596,4.931582447175518,3.685180352809144,0.08525710953746676,0.06266721131109067
run_00000034,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.35000000000000003,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,34,5.030530946902586,5.093803173427118,1.999712282629227,0.19640104084754864,31984.8444706026,15802.284936132703,4.950956042637512,5.08761520619579,0.08679903559756912,0.06534964545067759,0.019598752311140347,0.029489795645060768,4668.2529070583805,4182.162064580981,6.339776035894471,0.6296498832354881,0.06327222652451879,1.8033112417816797,0.13665916355827723,0.04634894593862654,6.249766329646502,0.03640439476518585,5.002374789012077,3.7489333646283893,0.06627903910547187,0.04193671916408192
run_00000035,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.36000000000000004,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,35,4.953433734937366,4.961816607835474,2.002830225953819,0.18396359693876874,31575.020909815474,14860.447775652932,4.883548315511332,4.951547019399081,0.10886311699037794,0.19471510525253205,0.013679201506754777,0.048608921346419615,4800.616391041988,4195.847439054797,6.29935717261007,0.6389344783794395,0.008382872898137411,1.8188666290150526,0.06799870388774734,0.10824648894341721,6.229097655055053,0.04789206048601258,4.97556054186169,3.748343462679451,0.0960664924960029,0.050584621636610934
run_00000036,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.37,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,36,4.79547058637682,4.845432172821829,1.9797233404993368,0.20142476028703998,30787.312476162464,16465.793688388014,4.787773403772518,4.844210236957563,0.11311123773501931,0.11283468992750553,0.019926350129297877,0.032475124013674764,5039.16696740065,4468.590071086528,6.184404006259607,0.6478470047697082,0.04996158644502525,1.778298580212299,0.05643683318504492,0.05077477015103634,6.11273644715256,0.037423291098296875,4.875416877079478,3.6876879292011475,0.05823520051380082,0.04102314986823553
run_00000037,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.38,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,37,4.9078449184995545,5.163918568335402,2.0028892916849506,0.2005281644791277,31431.336006005025,15939.549660432636,4.9181836043250895,5.170682666794315,0.21526385503047565,0.17025512628542694,0.022715629675658735,0.05069516719501723,5132.270806398877,4569.14070346228,6.364134757618917,0.6736421571549649,0.2560736498358555,1.8023611272058233,0.2524990624692253,0.08031886656663285,6.287364358193553,0.060523545420286574,5.034447588420268,3.7747905675255424,0.25607731122473293,0.08030719234736201
run_00000038,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.39,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,38,5.056808063166014,5.330949911857169,1.9945917622486633,0.20144820750482703,31817.666912340686,15438.940976176125,5.119461849086853,5.336032292021183,0.1144868295154681,0.11271383111528899,0.024793727881700582,0.025911343182983708,4952.335436648818,4189.877981242642,6.285667015269452,0.6551624338095704,0.2741418486911464,1.7931435547438217,0.21657044293432826,0.12920451916087355,6.2315582956586395,0.04002298927616721,4.971953673488485,3.7628311439166557,0.2779146867926066,0.1208759191913728
